question,answer
How do I book an appointment?,"You can book an appointment online through our website or mobile app. Alternatively, you can call our helpline to schedule an appointment."
What should I bring for my first visit?,"For your first visit, please bring a valid government-issued ID, your insurance details (if applicable), and any previous medical records related to your condition."
Can I reschedule my appointment?,"Yes, you can reschedule your appointment through the online portal or by contacting our customer support at least 24 hours in advance."
Are walk-in appointments available?,Walk-in appointments are subject to availability. We recommend booking in advance to ensure a confirmed slot.
What payment methods are accepted?,"We accept cash, credit/debit cards, and digital payment options like UPI and mobile wallets."
How do I check a doctor's availability?,"You can check a doctor's availability using our online appointment system, which is updated in real time based on their schedule."
Can I consult a doctor online?,"Yes, we offer teleconsultations with doctors. You can book an online consultation via our website or mobile app."
What happens if I miss my appointment?,"If you miss your appointment, you can reschedule through our platform. However, repeated no-shows may result in a cancellation fee."
How are doctors assigned to patients?,"Our AI-powered system matches patients with the most suitable available doctor based on their symptoms, specialty, and preferred consultation time."
Is emergency care available?,"Yes, our hospital provides 24/7 emergency care. In case of a medical emergency, please visit the emergency department immediately."
Can I choose my preferred doctor?,"Yes, you can choose your preferred doctor based on availability. Our online system allows you to filter by specialty, experience, and consultation fees."
How long is the average waiting time?,"Waiting times vary, but our AI system optimizes schedules to reduce delays. You can check estimated waiting times through our app."
Do you offer reminders for appointments?,"Yes, we send automated reminders via SMS, email, and app notifications to ensure you don’t miss your appointment."
What are the consultation fees?,Consultation fees vary by doctor and specialty. You can find detailed pricing information on our website or app.
Can I access my medical records online?,"Yes, your medical records and prescriptions are securely stored in our system and can be accessed through your patient portal."
Are there discounts for senior citizens?,"Yes, we offer special discounts for senior citizens and individuals with government-issued healthcare cards."
What is the cancellation policy?,You can cancel your appointment up to 24 hours in advance without a fee. Late cancellations may incur a small charge.
How do I provide feedback on my experience?,"You can provide feedback through our website, mobile app, or customer service. We value your input and use it to improve our services."
Is my data secure in your system?,"Yes, we follow strict data security protocols to ensure your medical records and personal information remain confidential and protected."
How can I contact customer support?,"You can reach our support team via phone, email, or live chat through our website and mobile app for any assistance."
